Address,aave-mint,uni-v2-rai-eth,aave,rai-dai-uni-v3,Total
0x1a11a225a53f59ccbcc6f88a6b83b06c23c42214,0.0,0.3789459265792831,0.0,0.0,0.378945927
0xfc963ef0e1f59d82ae13d98a11a844963564eacd,0.0,0.3762851809300587,0.0,0.0,0.376285181
0x3e893426e65cf198d4df266b77cfa46559c815ee,0.0,0.3453414412313389,0.0,0.0,0.345341441
0x1695a8ba3f3313f9a9ed075df09c9fcc60840ba1,0.0,0.0,0.3335737438016287,0.0,0.333573744
0x48c0e22cade321ee3ba22f9606af3e4ca7090601,0.0,0.3327533641473173,0.0,0.0,0.332753364
0x4a0d5319665a5eb094f841af9ce0a34bd3879412,0.0,0.0,0.3250159385410167,0.0,0.325015939
0x50ef6d20dfe998ee403bf4127ec07d9f832fe10f,0.0,0.3004432623577155,0.0,0.0,0.300443262
0x0d64add7aa3a19392a8afa3a07daaf0f7098776d,0.0,0.0,0.2951579554699904,0.0,0.295157955
0x3038428b55e18346b43c36acc98ee6ba61b4a6c8,0.0,0.0,0.28920605941789,0.0,0.289206059
0xf08b78ba2bdd1d1ee27642f15844139c4bd3b697,0.0,0.2863785316691925,0.0,0.0,0.286378532
0x7fb289978970f10853c850ca547e599a27eafcf1,0.0,0.2751371589813076,0.0,0.0,0.275137159
0xa7f569e019328c4c2774acefcb8b4862146cedca,0.0,0.2664036974600899,0.0,0.0,0.266403697
0x78b676664dd3b29f247070f7317321861703d461,0.0,0.2628752339020531,0.0,0.0,0.262875234
0xb1c10941bcc0627e9434416304d6da8b3f7255f0,0.0,0.2483049719582033,0.0,0.0,0.248304972
0x7b352628fe891148c33dc501010608f43fa259a3,0.0,0.2444152979341274,0.0,0.0,0.244415298
0xa9346de97ea8f5b2ce89aba9834424d2f799b493,0.0,0.2440103249436241,0.0,0.0,0.244010325
