Address,Total
0xaf1cde9960d2628f81300e808370a553b76ef375,0.417694632
0x82e4493e7e99f1a32f828027f03d82adc6c28bcf,0.410662581
0x050cea859b5a93ac7bd4db4572fb7d90b7c63cac,0.406551882
0x839d195bf635e222893c6516329235e904f8b3cf,0.393804529
0x459e9e7fa2631ce07a8369beeaebce0a660b9ecc,0.391729143
0xb20868131fbdd060f7f237f8f99c24880ed573ef,0.371864596
0xc6a82e72156a11a2e1634633af5e4517b451f0d9,0.366879889
0xb386b3370f3c258d241fed394050d60f7c421be7,0.340934283
0xa3e2330e4fa9bb23d7eaaa3628b2c1906eead200,0.320147214
0x71947cb13c53922f56b7881169f97357ad8a465a,0.318624535
0x730fac4c4ff284434ef81072341100bb02c2fa49,0.308965814
0xffefdcfff613c9bbb9928f6ff44f07c7b562bfdf,0.282846468
0x299c437702b2ee9ad9dc27f95d294b4559462ef4,0.280203462
0x5b7ab4b4b4768923cddef657084223528c807963,0.264510268
0x77e3630dec288c9a477bc430c44d8507068a63d1,0.226890732
0xefcb35a72e5bcf7b50bc739e92c38b9ccdeb2bd4,0.189587877
0xf08b78ba2bdd1d1ee27642f15844139c4bd3b697,0.183394263
0x00000000b9d747ef42d224e572a5b7e6488929c8,0.177958032
0xec80b5494e873fd9a7c7bf2368d743b38eb0b9ea,0.161877708
0x0694fcb8d0d764050aef2c1aebc2475b95201331,0.159923419
0xdf04232a23877e764a7b115a3fd7202379715f29,0.157022791
0x32844a824f458f24878515923f1fa120b6b711f2,0.146663355
0xfef3f83e036bebc6c7d92e769c87eda6065b3166,0.142426455
0xa8ec2ac025b50c2b626ba865b1559bf2bdeaaf17,0.124199552
0x2f116785e09488737ae32fdc699da93f03828068,0.113184678
0x2ebdcca663bec249867413cc9ff0969185411667,0.100520859
0x23dc2f56854caedbaa62395c9a3fe8f16b58a3f1,0.099187275
0xe92d2a4255bc7e468d355644d24ec5d9ac6ef13d,0.098463676
0x8d07d225a769b7af3a923481e1fdf49180e6a265,0.087568446
0x4602525fdeee4084ae863c5a81d605b498f4714e,0.083033215
0xfaa987318c328d32d359ad7ce053be5b395da7b7,0.073725737
0x99bcea6bb0403927fb3c038163478d5b42082fd9,0.068562491
0x9a00f6b8d484d670604338d793a6e36249e4322f,0.066813745
0xe6c58978d013b757eb315bd6fd776bee2ee2b63c,0.058531561
0x20deb7705e0f0527c29854bec7e80f1b16794a11,0.056068748
0x683a42e5b414ae5cf79ece7e369ca5937fdcdc11,0.052208136
0xa95d2bab86d8020cab018874849966922d403d59,0.049121342
0xa11109126af2c5904fdc5b6203108fef5770e85e,0.039397684
0xa2685a7e61e135eb659c5ef41a38ba170b5ecb4f,0.036025563
0x33359285f30e7b3386de70ca500f4fe27853765b,0.031626622
0xec8cbab21d13fe452c54abc4d962cc2a0830314a,0.030274622
0x0ea1e9ac50ec4d8db153580c2aec1c5ee13c0961,0.028575898
0x4846aee6d7c9f176f3f329e01a014c2794e21b92,0.027031245
0x25431341a5800759268a6ac1d3cd91c029d7d9ca,0.025672750
0xb6f1d510a8e18a9ba14cec92791c026f8f3b9072,0.024363507
0x8d6af3fa29f90dc01c544c75ba9a16c2ed87fa12,0.022757899
0x013812d42954149d2bc3e0246d65f4097d1b2fe5,0.022574285
0x18cf2b4672e816065c12d12b5bad21b426dbf560,0.022061124
0xdf08dfb2752c2bf55facc363f1568d4cf9606110,0.021646248
0x1ee053db7b63fd16162c773b2f37ad28f03b79d1,0.020823656
0xaedc687fa5376d2fe9d4b81ebfc8c2ba30ba54ae,0.016163604
0xe03727f8b10a30a4b2c5f43958b2b9e6ea2b4ac3,0.002482603
0x881ccec3c27d83877263cdaa12a45d0437e1f0fe,0.002266741
0x24d02e64d4a2580d570666546ac937adab2b3e08,0.001862457
0x35e190c1c872ea78c4f2d703cbcff6401b70ac0d,0.000622156
0x442aea0fd2afbd3391dae768f7046f132f0a6300,0.000151100
0x4a17f19a7b7fd329f97db116c2a09798f8c57ad0,0.000035283
